NWFSCsampleID,Plate
52193-1014,2.4
52193-1016,2.4
52193-1026,2.4
52193-1038,2.4
52193-1072,2.4
52193-1117,2.4
52193-1123,2.4
52193-1140,2.4
52193-1165,2.4
52193-1177,2.4
52193-118,2.4
52193-1188,2.4
52193-1199,2.4
52193-1217,2.4
52193-1227,2.4
52193-1285,2.4
52193-1332,2.4
52193-1343,2.4
52193-1359,2.4
52193-1478,2.4
52193-1507,2.4
52193-1568,2.4
52193-1589,2.4
52193-1629,2.4
52193-1635,2.4
52193-1645,2.4
52193-166,2.4
52193-1684,2.4
52193-1686,2.4
52193-176,2.4
52193-1773,2.4
52193-1786,2.4
52193-1788,2.4
52193-1845,2.4
52193-1859,2.4
52193-192,2.4
52193-200,2.4
52193-21,2.4
52193-219,2.4
52193-231,2.4
52193-251,2.4
52193-269,2.4
52193-298,2.4
52193-302,2.4
52193-306,2.4
52193-309,2.4
52193-342,2.4
52193-358,2.4
52193-360,2.4
52193-374,2.4
52193-376,2.4
52193-394,2.4
52193-433,2.4
52193-439,2.4
52193-48,2.4
52193-486,2.4
52193-498,2.4
52193-500,2.4
52193-543,2.4
52193-549,2.4
52193-555,2.4
52193-570,2.4
52193-572,2.4
52193-580,2.4
52193-604,2.4
52193-639,2.4
52193-641,2.4
52193-659,2.4
52193-665,2.4
52193-70,2.4
52193-720,2.4
52193-728,2.4
52193-74,2.4
52193-756,2.4
52193-803,2.4
52193-812,2.4
52193-817,2.4
52193-819,2.4
52193-82,2.4
52193-851,2.4
52193-853,2.4
52193-855,2.4
52193-859,2.4
52193-86,2.4
52193-908,2.4
52193-930,2.4
52193-938,2.4
52193-940,2.4
52193-966,2.4
52193-972,2.4
52193-985,2.4
52193-1040,2.5
52193-1051,2.5
52193-1052,2.5
52193-1064,2.5
52193-1066,2.5
52193-1068,2.5
52193-1081,2.5
52193-11,2.5
52193-1107,2.5
52193-1129,2.5
52193-116,2.5
52193-1167,2.5
52193-1175,2.5
52193-1209,2.5
52193-1215,2.5
52193-1226,2.5
52193-1229,2.5
52193-1239,2.5
52193-1241,2.5
52193-1255,2.5
52193-1261,2.5
52193-1273,2.5
52193-1283,2.5
52193-1291,2.5
52193-1301,2.5
52193-1320,2.5
52193-1322,2.5
52193-1330,2.5
52193-1357,2.5
52193-1363,2.5
52193-1476,2.5
52193-1487,2.5
52193-152,2.5
52193-1565,2.5
52193-168,2.5
52193-1696,2.5
52193-1743,2.5
52193-1751,2.5
52193-180,2.5
52193-1800,2.5
52193-1812,2.5
52193-1826,2.5
52193-1849,2.5
52193-1865,2.5
52193-189,2.5
52193-190,2.5
52193-204,2.5
52193-210,2.5
52193-229,2.5
52193-237,2.5
52193-25,2.5
52193-267,2.5
52193-34,2.5
52193-364,2.5
52193-42,2.5
52193-421,2.5
52193-470,2.5
52193-502,2.5
52193-519,2.5
52193-525,2.5
52193-527,2.5
52193-539,2.5
52193-541,2.5
52193-560,2.5
52193-578,2.5
52193-590,2.5
52193-6,2.5
52193-612,2.5
52193-667,2.5
52193-694,2.5
52193-696,2.5
52193-704,2.5
52193-706,2.5
52193-724,2.5
52193-726,2.5
